"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"736",11,"Johnson & Wales University-Providence","Rhode-Island",46500,78900,41,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737",1,"Citadel Military College of South Carolina","South-Carolina",60400,108100,62,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738",2,"Clemson University","South-Carolina",57500,106700,50,39,"South Carolina","SC","Public","4 Year",10832,14970,25802,36724,47556
"739",3,"Furman","South-Carolina",52100,98800,48,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740",4,"Wofford College","South-Carolina",51300,96600,51,28,"South Carolina","SC","Private","4 Year",12685,43845,56530,43845,56530
"741",5,"Medical University of South Carolina","South-Carolina",54800,92700,88,6,"South Carolina","SC","Public","4 Year",NA,26826,26826,26826,26826
"742",6,"University of South Carolina-Columbia","South-Carolina",50300,89900,52,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743",6,"Presbyterian College","South-Carolina",48800,89900,57,14,"South Carolina","SC","Private","4 Year",10480,38660,49140,38660,49140
"744",8,"College of Charleston","South-Carolina",47300,85100,44,20,"South Carolina","SC","Public","4 Year",12166,12738,24904,31920,44086
"745",9,"University of South Carolina-Upstate","South-Carolina",46000,81400,50,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746",10,"South Carolina State University","South-Carolina",44500,80800,71,16,"South Carolina","SC","Public","4 Year",9890,11060,20950,21750,31640
"747",11,"Winthrop University","South-Carolina",44300,79700,49,9,"South Carolina","SC","Public","4 Year",9312,15590,24902,29846,39158
"748",12,"Erskine College","South-Carolina",43500,78000,57,28,"South Carolina","SC","Private","4 Year",10900,34560,45460,34560,45460
"749",13,"Coastal Carolina University","South-Carolina",44700,77600,48,14,"South Carolina","SC","Public","4 Year",9190,11536,20726,26648,35838
"750",13,"Francis Marion University","South-Carolina",42900,77600,58,18,"South Carolina","SC","Public","4 Year",7948,11160,19108,21544,29492
"751",15,"Lander University","South-Carolina",42600,77100,54,9,"South Carolina","SC","Public","4 Year",9100,11700,20800,21300,30400
"752",16,"Limestone College","South-Carolina",42100,76500,57,10,"South Carolina","SC","Private","4 Year",9765,26000,35765,26000,35765
"753",17,"Charleston Southern University","South-Carolina",42800,76300,65,9,"South Carolina","SC","Private","4 Year",10200,25500,35700,25500,35700
"754",18,"University of South Carolina-Aiken","South-Carolina",41600,75100,58,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755",19,"Newberry College","South-Carolina",41200,74700,54,14,"South Carolina","SC","Private","4 Year",10666,26424,37090,26424,37090
"756",20,"Southern Wesleyan University","South-Carolina",42900,74600,52,5,"South Carolina","SC","Private","4 Year",9030,25476,34506,25476,34506
"757",21,"Converse College","South-Carolina",39000,71000,60,8,"South Carolina","SC","Private","4 Year",10930,18690,29620,18690,29620
